"gene_id","Water","Drought","MeanDecreaseAccuracy","MeanDecreaseGini"
"Os08g0450900",1.00100150250438,1.00100150250438,1.00100150250438,0.00333333333333333
"Os09g0241100",1.00100150250438,1.00100150250438,1.00100150250438,0.00333333333333333
"Os09g0450600",1.00100150250438,1.00100150250438,1.00100150250438,0.00333333333333333
"Os09g0554300",1.00100150250438,1.00100150250438,1.00100150250438,0.00333333333333333
"Os10g0139700",1.00100150250438,1.00100150250438,1.00100150250438,0.00333333333333333
"Os10g0578950",1.00100150250438,1.00100150250438,1.00100150250438,0.00333333333333333
"Os12g0508400",1.00100150250438,1.00100150250438,1.00100150250438,0.00333333333333333
"Os04g0607450",0,0,0,0.0146666666666667
"Os02g0201401",0,0,0,0.012
"Os02g0207500",0,0,0,0.012
"Os04g0193950",0,0,0,0.012
"Os07g0667300",0,0,0,0.012
"Os08g0510750",0,0,0,0.012
"Os01g0234433",0,0,0,0.0113333333333333
"Os01g0530316",0,0,0,0.0113333333333333
"Os10g0422600",0,0,0,0.0113333333333333
"Os01g0163000",0,0,0,0.0106666666666667
"Os04g0492500",0,0,0,0.0106666666666667
"Os05g0392050",0,0,0,0.0106666666666667
"Os07g0257800",0,0,0,0.0106666666666667
"Os02g0633066",0,0,0,0.00933333333333333
"Os03g0143532",0,0,0,0.00933333333333333
"Os04g0635100",0,0,0,0.00933333333333333
"Os10g0528200",0,0,0,0.00933333333333333
"Os01g0525800",0,0,0,0.00866666666666667
"Os01g0724450",0,0,0,0.00666666666666667
"Os01g0124000",0,0,0,0.006
"Os01g0209901",0,0,0,0.006
"Os01g0304050",0,0,0,0.006
"Os01g0305900",0,0,0,0.006
"Os01g0555600",0,0,0,0.006
"Os01g0613800",0,0,0,0.006
"Os01g0658900",0,0,0,0.006
"Os01g0661601",0,0,0,0.006
"Os01g0692000",0,0,0,0.006
"Os01g0754300",0,0,0,0.006
"Os01g0872566",0,0,0,0.006
"Os01g0927300",0,0,0,0.006
"Os01g0928400",0,0,0,0.006
"Os02g0106100",0,0,0,0.006
"Os02g0120700",0,0,0,0.006
"Os02g0193100",0,0,0,0.006
"Os02g0229900",0,0,0,0.006
"Os02g0232900",0,0,0,0.006
"Os02g0257250",0,0,0,0.006
"Os02g0551700",0,0,0,0.006
"Os02g0681100",0,0,0,0.006
"Os03g0162500",0,0,0,0.006
"Os03g0183050",0,0,0,0.006
"Os03g0195475",0,0,0,0.006
"Os03g0206150",0,0,0,0.006
"Os03g0206750",0,0,0,0.006
"Os03g0305550",0,0,0,0.006
"Os03g0336900",0,0,0,0.006
"Os03g0375300",0,0,0,0.006
"Os03g0388900",0,0,0,0.006
"Os03g0449200",0,0,0,0.006
"Os03g0571700",0,0,0,0.006
"Os03g0587200",0,0,0,0.006
"Os03g0808150",0,0,0,0.006
"Os03g0814800",0,0,0,0.006
"Os03g0833600",0,0,0,0.006
"Os03g0841700",0,0,0,0.006
"Os04g0372700",0,0,0,0.006
"Os04g0460600",0,0,0,0.006
"Os04g0528200",0,0,0,0.006
"Os04g0532400",0,0,0,0.006
"Os04g0582700",0,0,0,0.006
"Os04g0586100",0,0,0,0.006
"Os04g0612301",0,0,0,0.006
"Os05g0115100",0,0,0,0.006
"Os05g0122650",0,0,0,0.006
"Os05g0125400",0,0,0,0.006
"Os05g0267100",0,0,0,0.006
"Os05g0371166",0,0,0,0.006
"Os05g0382900",0,0,0,0.006
"Os05g0413200",0,0,0,0.006
"Os05g0576600",0,0,0,0.006
"Os05g0583400",0,0,0,0.006
"Os06g0133100",0,0,0,0.006
"Os06g0143950",0,0,0,0.006
"Os06g0244700",0,0,0,0.006
"Os06g0262501",0,0,0,0.006
"Os06g0274950",0,0,0,0.006
"Os06g0477400",0,0,0,0.006
"Os06g0544100",0,0,0,0.006
"Os06g0566201",0,0,0,0.006
"Os06g0575100",0,0,0,0.006
"Os07g0408400",0,0,0,0.006
"Os07g0526400",0,0,0,0.006
"Os07g0540600",0,0,0,0.006
"Os07g0570575",0,0,0,0.006
"Os07g0575550",0,0,0,0.006
"Os07g0590700",0,0,0,0.006
"Os07g0663800",0,0,0,0.006
"Os07g0694400",0,0,0,0.006
"Os08g0480050",0,0,0,0.006
"Os08g0483800",0,0,0,0.006
"Os08g0520900",0,0,0,0.006
"Os09g0240975",0,0,0,0.006
"Os09g0266200",0,0,0,0.006
"Os09g0385700",0,0,0,0.006
"Os09g0396900",0,0,0,0.006
"Os09g0413300",0,0,0,0.006
"Os09g0442400",0,0,0,0.006
"Os09g0520950",0,0,0,0.006
"Os09g0526300",0,0,0,0.006
"Os10g0320201",0,0,0,0.006
"Os10g0407400",0,0,0,0.006
"Os10g0442400",0,0,0,0.006
"Os10g0456950",0,0,0,0.006
"Os10g0529300",0,0,0,0.006
"Os11g0177750",0,0,0,0.006
"Os11g0244600",0,0,0,0.006
"Os11g0284300",0,0,0,0.006
"Os11g0540700",0,0,0,0.006
"Os11g0685100",0,0,0,0.006
"Os12g0129700",0,0,0,0.006
"Os12g0199000",0,0,0,0.006
"Os12g0237900",0,0,0,0.006
"Os12g0567000",0,0,0,0.006
"Os01g0110050",0,0,0,0.00533333333333333
"Os01g0134500",0,0,0,0.00533333333333333
"Os01g0155800",0,0,0,0.00533333333333333
"Os01g0184100",0,0,0,0.00533333333333333
"Os01g0213800",0,0,0,0.00533333333333333
"Os01g0310700",0,0,0,0.00533333333333333
"Os01g0323600",0,0,0,0.00533333333333333
"Os01g0341750",0,0,0,0.00533333333333333
"Os01g0367900",0,0,0,0.00533333333333333
"Os01g0372100",0,0,0,0.00533333333333333
"Os01g0585100",0,0,0,0.00533333333333333
"Os01g0687800",0,0,0,0.00533333333333333
"Os01g0710200",0,0,0,0.00533333333333333
"Os01g0764800",0,0,0,0.00533333333333333
"Os01g0777200",0,0,0,0.00533333333333333
"Os01g0849000",0,0,0,0.00533333333333333
"Os01g0867450",0,0,0,0.00533333333333333
"Os01g0944700",0,0,0,0.00533333333333333
"Os01g0945600",0,0,0,0.00533333333333333
"Os02g0140400",0,0,0,0.00533333333333333
"Os02g0150450",0,0,0,0.00533333333333333
"Os02g0162600",0,0,0,0.00533333333333333
"Os02g0191800",0,0,0,0.00533333333333333
"Os02g0193425",0,0,0,0.00533333333333333
"Os02g0207400",0,0,0,0.00533333333333333
"Os02g0248440",0,0,0,0.00533333333333333
"Os02g0265200",0,0,0,0.00533333333333333
"Os02g0318100",0,0,0,0.00533333333333333
"Os02g0328550",0,0,0,0.00533333333333333
"Os02g0541300",0,0,0,0.00533333333333333
"Os02g0563000",0,0,0,0.00533333333333333
"Os02g0580900",0,0,0,0.00533333333333333
"Os02g0621800",0,0,0,0.00533333333333333
"Os02g0630475",0,0,0,0.00533333333333333
"Os02g0639600",0,0,0,0.00533333333333333
"Os02g0667500",0,0,0,0.00533333333333333
"Os02g0792000",0,0,0,0.00533333333333333
"Os02g0796750",0,0,0,0.00533333333333333
"Os03g0104100",0,0,0,0.00533333333333333
"Os03g0107700",0,0,0,0.00533333333333333
"Os03g0149300",0,0,0,0.00533333333333333
"Os03g0167600",0,0,0,0.00533333333333333
"Os03g0195450",0,0,0,0.00533333333333333
"Os03g0232400",0,0,0,0.00533333333333333
"Os03g0244200",0,0,0,0.00533333333333333
"Os03g0320875",0,0,0,0.00533333333333333
"Os03g0376000",0,0,0,0.00533333333333333
"Os03g0407900",0,0,0,0.00533333333333333
"Os03g0421800",0,0,0,0.00533333333333333
"Os03g0559900",0,0,0,0.00533333333333333
"Os03g0713500",0,0,0,0.00533333333333333
"Os03g0749650",0,0,0,0.00533333333333333
"Os03g0752500",0,0,0,0.00533333333333333
"Os03g0756500",0,0,0,0.00533333333333333
"Os03g0850100",0,0,0,0.00533333333333333
"Os04g0233400",0,0,0,0.00533333333333333
"Os04g0291000",0,0,0,0.00533333333333333
"Os04g0373000",0,0,0,0.00533333333333333
"Os04g0423200",0,0,0,0.00533333333333333
"Os04g0443801",0,0,0,0.00533333333333333
"Os04g0453500",0,0,0,0.00533333333333333
"Os04g0460300",0,0,0,0.00533333333333333
"Os04g0469425",0,0,0,0.00533333333333333
"Os04g0527900",0,0,0,0.00533333333333333
"Os04g0555600",0,0,0,0.00533333333333333
"Os04g0615700",0,0,0,0.00533333333333333
"Os04g0622501",0,0,0,0.00533333333333333
"Os04g0675101",0,0,0,0.00533333333333333
"Os04g0684100",0,0,0,0.00533333333333333
"Os05g0113400",0,0,0,0.00533333333333333
"Os05g0134400",0,0,0,0.00533333333333333
"Os05g0137000",0,0,0,0.00533333333333333
"Os05g0171000",0,0,0,0.00533333333333333
"Os05g0171200",0,0,0,0.00533333333333333
"Os05g0278500",0,0,0,0.00533333333333333
"Os05g0317400",0,0,0,0.00533333333333333
"Os05g0376400",0,0,0,0.00533333333333333
"Os05g0424800",0,0,0,0.00533333333333333
"Os05g0508400",0,0,0,0.00533333333333333
"Os05g0508750",0,0,0,0.00533333333333333
"Os05g0537100",0,0,0,0.00533333333333333
"Os05g0551100",0,0,0,0.00533333333333333
"Os05g0585400",0,0,0,0.00533333333333333
"Os06g0125600",0,0,0,0.00533333333333333
"Os06g0131300",0,0,0,0.00533333333333333
"Os06g0131700",0,0,0,0.00533333333333333
"Os06g0142350",0,0,0,0.00533333333333333
"Os06g0173000",0,0,0,0.00533333333333333
"Os06g0174700",0,0,0,0.00533333333333333
"Os06g0248500",0,0,0,0.00533333333333333
"Os06g0290701",0,0,0,0.00533333333333333
"Os06g0320200",0,0,0,0.00533333333333333
"Os06g0687050",0,0,0,0.00533333333333333
"Os07g0130100",0,0,0,0.00533333333333333
"Os07g0162600",0,0,0,0.00533333333333333
"Os07g0165200",0,0,0,0.00533333333333333
"Os07g0169600",0,0,0,0.00533333333333333
"Os07g0209100",0,0,0,0.00533333333333333
"Os07g0448300",0,0,0,0.00533333333333333
"Os07g0468100",0,0,0,0.00533333333333333
"Os07g0517100",0,0,0,0.00533333333333333
"Os07g0534600",0,0,0,0.00533333333333333
"Os07g0578333",0,0,0,0.00533333333333333
"Os07g0593400",0,0,0,0.00533333333333333
"Os07g0598000",0,0,0,0.00533333333333333
"Os07g0603300",0,0,0,0.00533333333333333
"Os07g0617000",0,0,0,0.00533333333333333
"Os07g0646400",0,0,0,0.00533333333333333
"Os07g0656200",0,0,0,0.00533333333333333
"Os07g0680700",0,0,0,0.00533333333333333
"Os07g0689600",0,0,0,0.00533333333333333
"Os07g0691100",0,0,0,0.00533333333333333
"Os08g0116700",0,0,0,0.00533333333333333
"Os08g0232700",0,0,0,0.00533333333333333
"Os08g0411250",0,0,0,0.00533333333333333
"Os08g0507100",0,0,0,0.00533333333333333
"Os08g0552633",0,0,0,0.00533333333333333
"Os08g0561550",0,0,0,0.00533333333333333
"Os08g0562600",0,0,0,0.00533333333333333
"Os09g0363950",0,0,0,0.00533333333333333
"Os09g0422550",0,0,0,0.00533333333333333
"Os09g0451266",0,0,0,0.00533333333333333
"Os09g0498300",0,0,0,0.00533333333333333
"Os09g0511200",0,0,0,0.00533333333333333
"Os09g0513200",0,0,0,0.00533333333333333
"Os09g0522000",0,0,0,0.00533333333333333
"Os09g0522500",0,0,0,0.00533333333333333
"Os09g0537700",0,0,0,0.00533333333333333
"Os10g0413400",0,0,0,0.00533333333333333
"Os10g0417600",0,0,0,0.00533333333333333
"Os10g0461400",0,0,0,0.00533333333333333
"Os10g0464901",0,0,0,0.00533333333333333
"Os10g0471100",0,0,0,0.00533333333333333
"Os10g0496000",0,0,0,0.00533333333333333
"Os10g0509401",0,0,0,0.00533333333333333
"Os10g0530900",0,0,0,0.00533333333333333
"Os10g0531400",0,0,0,0.00533333333333333
"Os10g0539700",0,0,0,0.00533333333333333
