"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","significance"
3.29459111017875,-5.27832409236889,1.68536226318036,-3.13186322471018,0.00173700775812996,0.00674969997357425,"Os01g0919100","Down"
129.819756822872,-1.02323309686695,0.19892735199649,-5.14375266446516,2.69304041451805e-07,2.28302985500554e-06,"Os01g0915400","Down"
594.987090904745,-1.48377138697612,0.123942042908841,-11.9714937090994,5.01181322093078e-33,2.74688158335549e-31,"Os01g0209901","Down"
1023.51746221084,-1.49069973491493,0.0802648480846053,-18.5722613384083,5.38850308220463e-77,1.19056449740492e-74,"Os01g0818700","Down"
34.9046324880527,-1.18464677308718,0.375422847751039,-3.15549993875912,0.00160223299931649,0.00627426633254912,"Os01g0730700","Down"
20513.5010058031,-1.61865335324694,0.0724553996280776,-22.3399962122311,1.510561000742e-110,6.19132980608471e-108,"Os01g0910900","Down"
13.0772731139221,-3.99945530090897,0.848546085305641,-4.71330357910778,2.43732661675007e-06,1.78067770726708e-05,"Os01g0613800","Down"
65.7456546739573,-1.09651536379918,0.282392715333854,-3.88294493539908,0.000103198944672813,0.00054767674128201,"Os01g0151750","Down"
50.4106281746654,-1.84045630233289,0.334019258691583,-5.51003049806862,3.58771531137379e-08,3.44413362936057e-07,"Os01g0552050","Down"
70.9844460003454,-1.22483590657601,0.290360435253532,-4.21832921384944,2.4611928844936e-05,0.00014927084702201,"Os01g0621400","Down"
1253.3881126768,-1.4859886142635,0.106966680083965,-13.8920700642205,7.07603036853511e-44,5.8173608968762e-42,"Os01g0693400","Down"
164.45548047816,-3.42284326843401,0.225912130252099,-15.1512150525712,7.4378679897685e-52,7.96781608403951e-50,"Os01g0106400","Down"
154.804559079719,-1.38117919257969,0.200853807772906,-6.87653974746304,6.13238307316893e-12,9.07060280817418e-11,"Os01g0552000","Down"
89.2193668086593,-1.53470416663342,0.282291196102132,-5.43659946829574,5.43070279226289e-08,5.07385879312808e-07,"Os01g0945200","Down"
